식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
굴국_무,굴국,무,25,93.4,2.41,0.36,2.93,0.14,0.7,20.0,0.75,251.0,5.0,0.0,32.07,8.78,0.09,0.0
김치국,김치국,해당없음,23,94.4,1.34,0.76,2.63,0.03,0.7,12.0,0.15,208.0,1.0,0.0,0.44,4.78,0.19,0.0
김치국_콩나물,김치국,콩나물,12,96.8,0.82,0.47,1.15,0.49,0.6,10.0,0.16,230.0,3.0,0.0,0.35,0.6,0.09,0.0
내장탕,내장탕,해당없음,71,87.2,5.82,4.52,1.68,0.05,1.9,10.0,1.05,216.0,27.0,0.0,7.66,63.89,1.78,0.01
냉국_미역,냉국,미역,37,90.8,0.19,0.67,7.51,4.49,0.4,24.0,0.65,148.0,0.0,0.0,0.21,0.0,0.01,0.0
냉국_미역_오이,냉국,미역,6,97.7,0.37,0.15,0.85,0.69,0.7,13.0,0.14,327.0,3.0,0.0,0.0,0.0,0.01,0.0
달걀국,달걀국,해당없음,13,97.0,0.93,0.74,0.69,0.0,0.2,5.0,0.2,246.0,0.0,0.0,0.0,31.11,0.27,0.0
달걀탕_순두부,달걀탕,순두부,29,94.7,1.78,2.04,0.94,0.0,0.8,13.0,0.37,101.0,13.0,0.0,0.47,34.05,0.37,0.0
닭곰탕,닭곰탕,해당없음,51,88.2,7.51,1.42,2.0,0.3,0.7,9.0,0.29,170.0,2.0,0.0,0.04,36.02,0.3,0.0
도가니탕,도가니탕,해당없음,40,90.0,8.35,0.33,0.82,0.0,1.3,8.0,1.89,150.0,0.0,0.0,3.19,18.34,0.13,0.01
된장국_감자,된장국,감자,25,93.4,1.09,0.6,3.7,0.77,0.6,18.0,0.52,357.0,0.0,0.0,0.0,0.0,0.05,0.0
된장국_냉이,된장국,냉이,22,94.6,1.71,0.66,2.2,0.3,1.3,32.0,0.75,236.0,15.0,0.0,0.0,0.0,0.09,0.0
된장국_미역,된장국,미역,24,94.1,1.56,0.97,2.28,0.61,2.7,20.0,0.89,305.0,2.0,0.0,0.36,0.0,0.07,0.0
된장국_배추,된장국,배추,20,94.7,1.46,0.4,2.58,0.0,0.6,12.0,0.25,223.0,1.0,0.0,0.0,3.07,0.06,0.0
된장국_시금치,된장국,시금치,9,96.8,1.02,0.17,0.98,0.11,0.4,15.0,0.29,124.0,18.0,0.0,0.18,0.64,0.03,0.0
된장국_시래기,된장국,시래기,15,95.7,1.31,0.22,2.03,0.0,1.9,36.0,0.9,195.0,2.0,0.0,0.0,0.91,0.03,0.0
된장국_쑥,된장국,쑥,15,95.8,1.22,0.47,1.52,0.73,0.8,10.0,0.21,243.0,20.0,0.0,0.16,0.21,0.06,0.0
된장국_아욱,된장국,아욱,20,94.4,2.28,0.56,1.59,0.11,1.2,114.0,0.89,236.0,19.0,0.0,0.18,10.22,0.08,0.0
된장국_얼갈이배추,된장국,얼갈이배추,9,97.3,0.5,0.41,0.85,0.06,0.5,26.0,0.28,195.0,19.0,0.0,0.3,0.0,0.02,0.0
된장국_우거지,된장국,우거지,20,94.9,2.77,0.59,0.82,0.63,0.8,14.0,0.35,291.0,0.0,0.0,0.0,7.11,0.13,0.0
된장국_콩나물,된장국,콩나물,31,92.4,2.58,1.11,2.62,0.53,1.0,20.0,0.51,365.0,2.0,0.0,0.0,0.0,0.1,0.0
된장국_해물,된장국,해물,28,92.9,2.1,0.98,2.68,0.45,1.0,28.0,0.6,384.0,6.0,0.0,1.54,11.38,0.13,0.0
된장국_호박,된장국,호박,31,92.4,3.34,1.31,1.41,0.49,0.9,19.0,0.33,452.0,4.0,0.0,0.0,0.0,0.15,0.0
된장국_호박잎,된장국,호박잎,7,98.2,0.4,0.32,0.54,0.07,0.2,8.0,0.23,163.0,12.0,0.0,0.0,0.0,0.02,0.0
무국_소고기,무국,소고기,15,96.3,1.33,0.64,1.1,0.0,0.7,6.0,0.11,166.0,0.0,0.0,0.0,3.89,0.09,0.01
무국_홍합,무국,홍합,25,95.4,0.79,2.03,0.86,0.24,0.8,17.0,0.22,233.0,6.0,0.0,1.69,2.3,0.01,0.0
